tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
5478,2101,0,60.4018,28.0189,10.4744,21.9086,0.158037,0.696088,1.66215,0.509908,0.126521,4.27908
5479,2101,0,62.0122,28.7103,10.9145,22.3875,0.16076,0.751963,1.78345,0.549172,0.129768,4.40699
5480,2101,0,62.6067,29.0567,10.8355,22.7145,0.217955,0.737782,1.74331,0.547268,0.129022,4.37556
5481,2101,0,62.5295,28.6636,11.6821,22.1837,0.369022,0.857839,1.79193,0.613289,0.126363,4.8195
5482,2101,0,62.0278,28.9829,10.9108,22.1342,0.300773,0.739889,1.68505,0.561996,0.127021,4.41784
5483,2104,0,60.843,28.2539,10.578,22.0112,0.156904,0.697531,1.70051,0.519948,0.127631,4.30929
5484,2107,0,60.1332,27.6278,10.5265,21.9789,0.158243,0.689876,1.7012,0.506956,0.127505,4.296
5485,2112,0,63.3419,29.214,11.7177,22.4102,0.514121,0.763751,1.77949,0.62158,0.126799,4.58782
5486,2112,0,62.0712,28.8091,10.6146,22.6475,0.163697,0.711837,1.70054,0.515779,0.12627,4.31531
5487,2112,0,62.5883,28.4763,11.1328,22.9792,0.165718,0.783538,1.78263,0.555332,0.134116,4.51162
5488,2112,0,64.535,29.5194,11.489,23.5265,0.22208,0.808904,1.8269,0.581489,0.133385,4.64969
5489,2112,0,63.1518,29.1177,11.0859,22.9483,0.165143,0.748682,1.79201,0.548095,0.133923,4.50024
5490,2111,0,63.063,28.4183,11.6985,22.9462,0.251239,0.822246,1.80647,0.592447,0.127652,4.76976
5491,2111,0,62.3428,28.5932,11.4216,22.328,0.347091,0.846462,1.70071,0.613056,0.126462,4.71897
5492,2111,0,64.1477,28.7154,11.483,23.9494,0.358526,0.813836,1.76965,0.650776,0.127651,4.6832
5493,2109,0,62.818,28.8882,11.6988,22.231,0.47529,0.808299,1.7285,0.599874,0.128096,4.61416
